state,senator,,zip
RI,Sheldon Whitehouse,,2903
RI,Sheldon Whitehouse,,2903
WV,Shelley Moore Capito,,25305
WV,Shelley Moore Capito,,25305
WV,Shelley Moore Capito,,25305
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
CO,John W. Hickenlooper,,80203
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
IL,Tammy Duckworth,,62707
MN,Tina Smith,,55155
MN,Tina Smith,,55155
MN,Tina Smith,,55155
MI,Gary C. Peters,,48933
MI,Gary C. Peters,,48933
MI,Gary C. Peters,,48933
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
KY,Mitch Mcconnell,,40601
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
AK,Dan Sullivan,,99801
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
DE,Thomas R. Carper,,19901
WA,Maria Cantwell,,98504
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
AL,Tommy Tuberville,,36104
NV,Jacky Rosen,,89701
