transaction_date,ticker,type,amount,state,industry,party,name
4/18/2023,ESS,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Democrat,Sheldon Whitehouse
4/18/2023,ESS,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Democrat,Sheldon Whitehouse
5/16/2023,N/A,N/A,,,,,Michael F. Bennet
4/4/2023,UPS,Sale (Full),"$15,000 ",WV,Trucking Freight/Courier Services,Republican,Shelley Moore Capito
4/4/2023,MCD,Sale (Partial),"$15,000 ",WV,Restaurants,Republican,Shelley Moore Capito
4/4/2023,DUK,Sale (Full),"$50,000 ",WV,Power Generation,Republican,Shelley Moore Capito
4/28/2023,TTD,Sale (Full),"$50,000 ",CO,"Computer Software: Programming, Data Processing",Democrat,John W. Hickenlooper
4/28/2023,PTON,Sale (Full),"$15,000 ",CO,Recreational Products/Toys,Democrat,John W. Hickenlooper
4/28/2023,DIS,Sale (Full),"$50,000 ",CO,Services-Misc. Amusement & Recreation,Democrat,John W. Hickenlooper
4/28/2023,CMCSA,Sale (Full),"$50,000 ",CO,Television Services,Democrat,John W. Hickenlooper
4/28/2023,CCCS,Sale (Full),"$50,000 ",CO,Computer Software: Prepackaged Software,Democrat,John W. Hickenlooper
4/28/2023,AMZN,Sale (Full),"$50,000 ",CO,Catalog/Specialty Distribution,Democrat,John W. Hickenlooper
4/28/2023,BABA,Sale (Full),"$15,000 ",CO,Business Services,Democrat,John W. Hickenlooper
4/28/2023,SNAP,Sale (Full),"$15,000 ",CO,"Computer Software: Programming, Data Processing",Democrat,John W. Hickenlooper
4/28/2023,PINS,Sale (Full),"$15,000 ",CO,,Democrat,John W. Hickenlooper
4/12/2023,CARG,Sale (Full),"$15,000 ",CO,Interactive Media,Democrat,John W. Hickenlooper
4/12/2023,BBY,Sale (Full),"$15,000 ",CO,Consumer Electronics/Video Chains,Democrat,John W. Hickenlooper
5/1/2023,CMG,Sale (Partial),"$250,000 ",CO,Restaurants,Democrat,John W. Hickenlooper
5/11/2023,N/A,N/A,,,,,Rick Scott
4/28/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/28/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/28/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/28/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/28/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/28/2023,F,Purchase,"$50,000 ",AL,Auto Manufacturing,Republican,Tommy Tuberville
4/27/2023,F,Purchase,"$250,000 ",AL,Auto Manufacturing,Republican,Tommy Tuberville
4/26/2023,F,Purchase,"$50,000 ",AL,Auto Manufacturing,Republican,Tommy Tuberville
4/26/2023,ATVI,Sale (Full),"$250,000 ",AL,Computer Software: Prepackaged Software,Republican,Tommy Tuberville
4/24/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/24/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/24/2023,CLF,Sale (Partial),"$15,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/24/2023,X,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
4/24/2023,X,Sale (Partial),"$250,000 ",AL,Steel/Iron Ore,Republican,Tommy Tuberville
4/24/2023,CLF,Purchase,"$50,000 ",AL,Precious Metals,Republican,Tommy Tuberville
4/18/2023,OXY,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Republican,Tommy Tuberville
4/14/2023,KMB,Sale (Partial),"$15,000 ",AL,Containers/Packaging,Republican,Tommy Tuberville
4/14/2023,MMM,Purchase,"$15,000 ",AL,Medical/Dental Instruments,Republican,Tommy Tuberville
4/14/2023,MRO,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Republican,Tommy Tuberville
4/10/2023,KR,Sale (Partial),"$15,000 ",AL,Food Chains,Republican,Tommy Tuberville
4/10/2023,MDLZ,Sale (Partial),"$15,000 ",AL,Packaged Foods,Republican,Tommy Tuberville
4/10/2023,PARA,Sale (Partial),"$15,000 ",AL,Movies/Entertainment,Republican,Tommy Tuberville
4/10/2023,HPQ,Sale (Partial),"$15,000 ",AL,Computer Manufacturing,Republican,Tommy Tuberville
4/4/2023,TSLA,Sale (Partial),"$50,000 ",AL,Auto Manufacturing,Republican,Tommy Tuberville
4/3/2023,TXN,Sale (Partial),"$50,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,XP,Purchase,"$15,000 ",AL,Investment Bankers/Brokers/Service,Republican,Tommy Tuberville
4/3/2023,VCTR,Sale (Full),"$15,000 ",AL,Investment Managers,Republican,Tommy Tuberville
4/3/2023,VZ,Purchase,"$15,000 ",AL,Telecommunications Equipment,Republican,Tommy Tuberville
4/3/2023,TREX,Sale (Full),"$15,000 ",AL,,Republican,Tommy Tuberville
4/3/2023,MMM,Purchase,"$15,000 ",AL,Medical/Dental Instruments,Republican,Tommy Tuberville
4/3/2023,TMO,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
4/3/2023,MSFT,Sale (Partial),"$50,000 ",AL,Computer Software: Prepackaged Software,Republican,Tommy Tuberville
4/3/2023,TSLA,Purchase,"$15,000 ",AL,Auto Manufacturing,Republican,Tommy Tuberville
4/3/2023,SKY,Purchase,"$15,000 ",AL,Homebuilding,Republican,Tommy Tuberville
4/3/2023,SSD,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
4/3/2023,SCI,Sale (Full),"$15,000 ",AL,Other Consumer Services,Republican,Tommy Tuberville
4/3/2023,QSR,Purchase,"$15,000 ",AL,Restaurants,Republican,Tommy Tuberville
4/3/2023,REGN,Purchase,"$15,000 ",AL,Major Pharmaceuticals,Republican,Tommy Tuberville
4/3/2023,RRC,Purchase,"$15,000 ",AL,Oil & Gas Production,Republican,Tommy Tuberville
4/3/2023,RH,Sale (Full),"$15,000 ",AL,Other Specialty Stores,Republican,Tommy Tuberville
4/3/2023,PHM,Sale (Full),"$15,000 ",AL,Homebuilding,Republican,Tommy Tuberville
4/3/2023,PAM,Purchase,"$15,000 ",AL,Electric Utilities: Central,Republican,Tommy Tuberville
4/3/2023,NSC,Purchase,"$15,000 ",AL,Railroads,Republican,Tommy Tuberville
4/3/2023,NDSN,Purchase,"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
4/3/2023,NVDA,Purchase,"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,MCO,Sale (Full),"$15,000 ",AL,Finance: Consumer Services,Republican,Tommy Tuberville
4/3/2023,MPWR,Sale (Partial),"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,MPWR,Sale (Partial),"$15,000 ",AL,Semiconductors,Republican,Tommy Tuberville
4/3/2023,MTD,Sale (Full),"$15,000 ",AL,Biotechnology: Laboratory Analytical Instruments,Republican,Tommy Tuberville
4/3/2023,MMC,Sale (Full),"$15,000 ",AL,Specialty Insurers,Republican,Tommy Tuberville
4/3/2023,MKSI,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
4/3/2023,LMST,Sale (Full),"$15,000 ",AL,Major Banks,Republican,Tommy Tuberville
4/3/2023,ITW,Sale (Full),"$15,000 ",AL,Industrial Machinery/Components,Republican,Tommy Tuberville
