owner,ticker,asset_type,type,amount,state,party,industry,senator
Spouse,ESS,Stock,Sale (Full),"$15,000 ",RI,Democrat,Real Estate Investment Trusts,Sheldon Whitehouse
Self,ESS,Stock,Sale (Full),"$15,000 ",RI,Democrat,Real Estate Investment Trusts,Sheldon Whitehouse
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Michael F. Bennet
Spouse,UPS,Stock,Sale (Full),"$15,000 ",WV,Republican,Trucking Freight/Courier Services,Shelley Moore Capito
Spouse,MCD,Stock,Sale (Partial),"$15,000 ",WV,Republican,Restaurants,Shelley Moore Capito
Spouse,DUK,Stock,Sale (Full),"$50,000 ",WV,Republican,Power Generation,Shelley Moore Capito
Spouse,TTD,Stock,Sale (Full),"$50,000 ",CO,Democrat,"Computer Software: Programming, Data Processing",John W. Hickenlooper
Spouse,PTON,Stock,Sale (Full),"$15,000 ",CO,Democrat,Recreational Products/Toys,John W. Hickenlooper
Spouse,DIS,Stock,Sale (Full),"$50,000 ",CO,Democrat,Services-Misc. Amusement & Recreation,John W. Hickenlooper
Spouse,CMCSA,Stock,Sale (Full),"$50,000 ",CO,Democrat,Television Services,John W. Hickenlooper
Spouse,CCCS,Stock,Sale (Full),"$50,000 ",CO,Democrat,Computer Software: Prepackaged Software,John W. Hickenlooper
Spouse,AMZN,Stock,Sale (Full),"$50,000 ",CO,Democrat,Catalog/Specialty Distribution,John W. Hickenlooper
Spouse,BABA,Stock,Sale (Full),"$15,000 ",CO,Democrat,Business Services,John W. Hickenlooper
Spouse,SNAP,Stock,Sale (Full),"$15,000 ",CO,Democrat,"Computer Software: Programming, Data Processing",John W. Hickenlooper
Spouse,PINS,Stock,Sale (Full),"$15,000 ",CO,Democrat,,John W. Hickenlooper
Spouse,CARG,Stock,Sale (Full),"$15,000 ",CO,Democrat,Interactive Media,John W. Hickenlooper
Spouse,BBY,Stock,Sale (Full),"$15,000 ",CO,Democrat,Consumer Electronics/Video Chains,John W. Hickenlooper
Spouse,CMG,Stock,Sale (Partial),"$250,000 ",CO,Democrat,Restaurants,John W. Hickenlooper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
