transaction_date,ticker,type,amount,state,industry,party,name
5/14/2023,U,exchange,"$15,000 ",NC,Retail: Computer Software & Peripheral Equipment,Democrat,Deborah Ross
5/12/2023,AAL,purchase,"$15,000 ",ID,Air Freight/Delivery Services,Republican,Michael K. Simpson
5/12/2023,GOLD,sale_full,"$15,000 ",ID,Precious Metals,Republican,Michael K. Simpson
5/12/2023,BHP,sale_full,"$15,000 ",ID,Precious Metals,Republican,Michael K. Simpson
5/12/2023,CEMCF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,EQNR,sale_full,"$15,000 ",ID,Integrated oil Companies,Republican,Michael K. Simpson
5/12/2023,ERIC,sale_full,"$15,000 ",ID,Radio And Television Broadcasting And Communications Equipment,Republican,Michael K. Simpson
5/12/2023,FDN,sale_full,"$50,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,QQXT,sale_full,"$50,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,JGCCF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,MJDLF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,MLYNF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,NCMGF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,NEM,sale_full,"$15,000 ",ID,Precious Metals,Republican,Michael K. Simpson
5/12/2023,OGFGF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,PDS,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,TROW,purchase,"$50,000 ",ID,Investment Bankers/Brokers/Service,Republican,Michael K. Simpson
5/12/2023,VIV.V,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,TSCDF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,TKC,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,USB,purchase,"$50,000 ",ID,Major Banks,Republican,Michael K. Simpson
5/12/2023,WOLWF,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,AUY,sale_full,"$15,000 ",ID,,Republican,Michael K. Simpson
5/12/2023,BANC$E,sale_full,"$15,000 ",ID,,Republican,Russ Fulcher
5/12/2023,--,sale_full,"$15,000 ",IL,,,Jonathan Jackson
5/12/2023,AME,purchase,"$50,000 ",IL,Industrial Machinery/Components,,Jonathan Jackson
5/12/2023,BHF,purchase,"$50,000 ",IL,Life Insurance,,Jonathan Jackson
5/12/2023,BHF,sale_full,"$50,000 ",IL,Life Insurance,,Jonathan Jackson
5/12/2023,DE,purchase,"$50,000 ",IL,Industrial Machinery/Components,,Jonathan Jackson
