transaction_date,owner,ticker,asset_type,type,amount,state,industry,senator
4/18/2023,Spouse,ESS,Stock,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Sheldon Whitehouse
4/18/2023,Self,ESS,Stock,Sale (Full),"$15,000 ",RI,Real Estate Investment Trusts,Sheldon Whitehouse
5/16/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Michael F. Bennet
4/4/2023,Spouse,UPS,Stock,Sale (Full),"$15,000 ",WV,Trucking Freight/Courier Services,Shelley Moore Capito
4/4/2023,Spouse,MCD,Stock,Sale (Partial),"$15,000 ",WV,Restaurants,Shelley Moore Capito
4/4/2023,Spouse,DUK,Stock,Sale (Full),"$50,000 ",WV,Power Generation,Shelley Moore Capito
4/28/2023,Spouse,TTD,Stock,Sale (Full),"$50,000 ",CO,"Computer Software: Programming, Data Processing",John W. Hickenlooper
4/28/2023,Spouse,PTON,Stock,Sale (Full),"$15,000 ",CO,Recreational Products/Toys,John W. Hickenlooper
4/28/2023,Spouse,DIS,Stock,Sale (Full),"$50,000 ",CO,Services-Misc. Amusement & Recreation,John W. Hickenlooper
4/28/2023,Spouse,CMCSA,Stock,Sale (Full),"$50,000 ",CO,Television Services,John W. Hickenlooper
4/28/2023,Spouse,CCCS,Stock,Sale (Full),"$50,000 ",CO,Computer Software: Prepackaged Software,John W. Hickenlooper
4/28/2023,Spouse,AMZN,Stock,Sale (Full),"$50,000 ",CO,Catalog/Specialty Distribution,John W. Hickenlooper
4/28/2023,Spouse,BABA,Stock,Sale (Full),"$15,000 ",CO,Business Services,John W. Hickenlooper
4/28/2023,Spouse,SNAP,Stock,Sale (Full),"$15,000 ",CO,"Computer Software: Programming, Data Processing",John W. Hickenlooper
4/28/2023,Spouse,PINS,Stock,Sale (Full),"$15,000 ",CO,,John W. Hickenlooper
4/12/2023,Spouse,CARG,Stock,Sale (Full),"$15,000 ",CO,Interactive Media,John W. Hickenlooper
4/12/2023,Spouse,BBY,Stock,Sale (Full),"$15,000 ",CO,Consumer Electronics/Video Chains,John W. Hickenlooper
5/1/2023,Spouse,CMG,Stock,Sale (Partial),"$250,000 ",CO,Restaurants,John W. Hickenlooper
5/11/2023,N/A,N/A,PDF Disclosed Filing,N/A,,,,Rick Scott
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/28/2023,Joint,F,Stock,Purchase,"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/27/2023,Joint,F,Stock,Purchase,"$250,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/26/2023,Joint,F,Stock,Purchase,"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
4/26/2023,Joint,ATVI,Stock,Sale (Full),"$250,000 ",AL,Computer Software: Prepackaged Software,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Precious Metals,Tommy Tuberville
4/24/2023,Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Steel/Iron Ore,Tommy Tuberville
4/24/2023,Joint,X,Stock,Sale (Partial),"$250,000 ",AL,Steel/Iron Ore,Tommy Tuberville
4/24/2023,Joint,CLF,Stock,Purchase,"$50,000 ",AL,Precious Metals,Tommy Tuberville
4/18/2023,Joint,OXY,Stock Option,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Tommy Tuberville
4/14/2023,Joint,KMB,Stock Option,Sale (Partial),"$15,000 ",AL,Containers/Packaging,Tommy Tuberville
4/14/2023,Joint,MMM,Stock,Purchase,"$15,000 ",AL,Medical/Dental Instruments,Tommy Tuberville
4/14/2023,Joint,MRO,Stock Option,Sale (Partial),"$15,000 ",AL,Oil & Gas Production,Tommy Tuberville
4/10/2023,Joint,KR,Stock Option,Sale (Partial),"$15,000 ",AL,Food Chains,Tommy Tuberville
4/10/2023,Joint,MDLZ,Stock Option,Sale (Partial),"$15,000 ",AL,Packaged Foods,Tommy Tuberville
4/10/2023,Joint,PARA,Stock Option,Sale (Partial),"$15,000 ",AL,Movies/Entertainment,Tommy Tuberville
4/10/2023,Joint,HPQ,Stock Option,Sale (Partial),"$15,000 ",AL,Computer Manufacturing,Tommy Tuberville
4/4/2023,Joint,TSLA,Stock Option,Sale (Partial),"$50,000 ",AL,Auto Manufacturing,Tommy Tuberville
