id,ticker,ticker_data
1,ESS,1
2,UPS,2
3,MCD,3
4,DUK,4
5,TTD,5
6,PTON,6
7,DIS,7
8,CMCSA,8
9,CCCS,9
10,AMZN,10
11,BABA,11
12,SNAP,12
13,CARG,13
14,BBY,14
15,CMG,15
16,CLF,16
17,F,17
18,ATVI,18
19,X,19
20,OXY,20
21,KMB,21
22,MMM,22
23,MRO,23
24,KR,24
25,MDLZ,25
26,PARA,26
27,HPQ,27
28,TSLA,28
29,TXN,29
30,XP,30
31,VCTR,31
32,VZ,32
33,TMO,33
34,MSFT,34
35,SKY,35
36,SSD,36
37,SCI,37
38,QSR,38
39,REGN,39
40,RRC,40
41,RH,41
42,PHM,42
43,PAM,43
44,NSC,44
45,NDSN,45
46,NVDA,46
47,MCO,47
48,MPWR,48
49,MTD,49
50,MMC,50
51,MKSI,51
52,LMST,52
53,ITW,53
54,IDXX,54
55,GFI,55
56,FLT,56
57,META,57
58,ETSY,58
59,EW,59
60,DQ,60
61,CROX,61
62,CSCO,62
63,AMT,63
64,ALLE,64
65,ABBV,65
66,GSK,66
67,GNTX,67
68,GRMN,68
69,DIOD,69
70,CBSH,70
71,CRUS,71
72,AVGO,72
73,ADSK,73
74,APH,74
75,A,75
76,NVS,76
77,BRKR,77
78,AVNT,78
79,SNDR,79
80,MRVL,80
81,ALGM,81
82,VSH,82
83,UAA,83
84,UA,84
85,CSII,85
86,MDT,86
87,TFC,87
88,O,88
89,NUE,89
90,TSM,90
91,AAPL,91
92,WFC,92
93,SCHW,93
94,CHD,94
95,GOOG,95
96,QCOM,96
97,SBUX,97
98,WM,98
99,AGX,99
100,HASI,100
101,MOS,101
102,BSM,102
103,RTX,103
104,IRM,104
105,APO,105
106,LDP,106
107,GOLD,107
108,V,108
109,KO,109
110,PXD,110
111,JPM,111
112,CVS,112
113,BMY,113
114,BKNG,114
115,ZTS,115
116,ALGN,116
117,RIO,117
118,MGM,118
119,ATKR,119
120,HOLX,120
121,BHP,121
122,RMD,122
123,DLR,123
124,AXS,124
125,CME,125
126,EQNR,126
127,RNWK,127
128,NU,128
129,PG,129
130,PYPL,130
131,CLX,131
132,GE,132
133,C,133
134,FWONK,134
135,LSXMK,135
136,LBRDK,136
137,SYK,137
138,MLM,138
139,FFIV,139
140,ELAN,140
141,BAX,141
142,ADBE,142
143,RPM,143
144,TJX,144
145,LRCX,145
146,INTC,146
147,WIW,147
148,BATRK,148
149,LBRDA,149
150,BATRA,150
151,XOM,151
152,CVX,152
153,VRTX,153
154,RELX,154
155,GIS,155
156,GLPI,156
157,EXR,157
158,ELS,158
159,AMGN,159
160,WIT,160
161,SEIC,161
162,TROW,162
163,NOC,163
164,MNST,164
165,MASI,165
166,MKTX,166
167,HON,167
168,GGG,168
169,IT,169
170,FAST,170
171,EL,171
172,AMAT,172
173,APD,173
174,FDX,174
175,MPW,175
176,ABT,176
177,HQL,177
178,NID,178
179,FIVE,179
180,VTRS,180
181,ORCL,181
182,TSCO,182
183,SSYS,183
184,HR,184
185,GWW,185
186,COST,186
187,LMT,187
188,CAT,188
189,SBNY,189
190,CMS,190
191,IBM,191
192,SCCO,192
193,EVT,193
194,JCI,194
195,LMND,195
196,SQ,196
197,IRT,197
198,WST,198
199,VMW,199
200,SNA,200
201,SIVB,201
202,SPGI,202
203,ROK,203
204,NFLX,204
205,KEY,205
206,INTU,206
207,GNRC,207
208,FGBI,208
209,FITB,209
210,EXP,210
211,DEO,211
212,CFG,212
213,CE,213
214,CP,214
215,CABO,215
216,BKE,216
217,BIO,217
218,RF,218
219,NDAQ,219
220,MRK,220
221,HUMA,221
222,CDNS,222
223,AME,223
224,NEE,224
225,LHX,225
