id,asset_type,industry
1,Stock,Real Estate Investment Trusts
2,Stock,Trucking Freight/Courier Services
3,Stock,Restaurants
4,Stock,Power Generation
5,Stock,"Computer Software: Programming, Data Processing"
6,Stock,Recreational Products/Toys
7,Stock,Services-Misc. Amusement & Recreation
8,Stock,Television Services
9,Stock,Computer Software: Prepackaged Software
10,Stock,Catalog/Specialty Distribution
11,Stock,Business Services
12,Stock,"Computer Software: Programming, Data Processing"
13,Stock,Interactive Media
14,Stock,Consumer Electronics/Video Chains
15,Stock,Restaurants
16,Stock Option,Precious Metals
17,Stock,Auto Manufacturing
18,Stock,Computer Software: Prepackaged Software
19,Stock,Steel/Iron Ore
20,Stock Option,Oil & Gas Production
21,Stock Option,Containers/Packaging
22,Stock,Medical/Dental Instruments
23,Stock Option,Oil & Gas Production
24,Stock Option,Food Chains
25,Stock Option,Packaged Foods
26,Stock Option,Movies/Entertainment
27,Stock Option,Computer Manufacturing
28,Stock Option,Auto Manufacturing
29,Stock Option,Semiconductors
30,Stock,Investment Bankers/Brokers/Service
31,Stock,Investment Managers
32,Stock,Telecommunications Equipment
33,Stock,Industrial Machinery/Components
34,Stock Option,Computer Software: Prepackaged Software
35,Stock,Homebuilding
36,Stock,Industrial Machinery/Components
37,Stock,Other Consumer Services
38,Stock,Restaurants
39,Stock,Major Pharmaceuticals
40,Stock,Oil & Gas Production
41,Stock,Other Specialty Stores
42,Stock,Homebuilding
43,Stock,Electric Utilities: Central
44,Stock,Railroads
45,Stock,Industrial Machinery/Components
46,Stock,Semiconductors
47,Stock,Finance: Consumer Services
48,Stock,Semiconductors
49,Stock,Biotechnology: Laboratory Analytical Instruments
50,Stock,Specialty Insurers
51,Stock,Industrial Machinery/Components
52,Stock,Major Banks
53,Stock,Industrial Machinery/Components
54,Stock,Biotechnology: In Vitro & In Vivo Diagnostic Substances
55,Stock,Precious Metals
56,Stock,EDP Services
57,Stock,Internet and Information Services
58,Stock,Business Services
59,Stock,Industrial Specialties
60,Stock,Semiconductors
61,Stock,Shoe Manufacturing
62,Stock,Computer Communications Equipment
63,Stock,Real Estate Investment Trusts
64,Stock,Diversified Commercial Services
65,Stock,Major Pharmaceuticals
66,Stock,Major Pharmaceuticals
67,Stock,Auto Parts:O.E.M.
